CSD refcode,CIF filename
ABAYIO,abayio_P1_charged
ABETIN,abetin_P1_charged_H
ABEXEN,abexen_P1_charged
ACEMEE,acemee_P1_charged
ACODON,acodon_P1_charged_H
ADATUW,adatuw_P1_charged
ADEGEY,adegey_P1_charged
ADINCU,adincu_P1_charged_H
ADIPAI,adipai_P1_charged
ADUWON,aduwon_P1_charged_H
AFADAN,afadan_P1_charged
AFENEE,afenee_P1_charged
AFUVUV,afuvuv_P1_charged
AGABIU,agabiu_P1_charged_H
AGOFEJ,agofej_P1_charged_H
AGOVID,agovid_P1_charged
AGOWAW,agowaw_P1_charged
AGOWEA,agowea_P1_charged
AJOCOU,ajocou_P1_charged
AKOBAF,akobaf_P1_charged_H
ALECAY,alecay_P1_charged
ALICEE,alicee_P1_charged
ALICII,alicii_P1_charged
ALIXID,alixid_P1_charged
ALOLES,aloles_P1_charged_H
ALOLIY,aloliy_P1_charged
ALURAB,alurab_P1_charged
ALUREF,aluref_P1_charged
ALURIJ,alurij_P1_charged
AMEJIM,amejim_P1_charged_H
AMIYIG,amiyig_P1_charged
AMIZAZ,amizaz_P1_charged
AMIZAZ01,amizaz01_P1_charged
AMIZAZ02,amizaz02_P1_charged
AMOBAI,amobai_P1_charged
AMOBEL02,amobel02_P1_charged
AMOMUM,amomum_P1_charged
AMONAT,amonat_P1_charged
AMURUX02,amurux02_P1_charged
AMURUX10,amurux10_P1_charged
AMURUX11,amurux11_P1_charged
AMUVAI,amuvai_P1_charged_H
AMUWIP,amuwip_P1_charged
AMUXAI,amuxai_P1_charged_H
APOBEP,apobep_P1_charged
AQAGEH,aqageh_P1_charged_H
AQIXUV,aqixuv_P1_charged
ARADEE,aradee_P1_charged
ARINUL,arinul_P1_charged
AROQAB,aroqab_P1_charged
ASIQEA,asiqea_P1_charged
ASIQIE,asiqie_P1_charged
ASITAA,asitaa_P1_charged
ASOLUS,asolus_P1_charged
ASOMAZ,asomaz_P1_charged
ASUJIJ,asujij_P1_charged
ATEYED,ateyed_P1_charged_H
ATEYOP,ateyop_P1_charged
ATEYUV,ateyuv_P1_charged
ATEZAC,atezac_P1_charged
ATIXUX,atixux_P1_charged
ATURIS,aturis_P1_charged
ATUXOE,atuxoe_P1_charged_H
ATUXUK,atuxuk_P1_charged_H
ATUYAR,atuyar_P1_charged_H
AVEBUB,avebub_P1_charged
AVEBUB01,avebub01_P1_charged
AVETEC01,avetec01_P1_charged
AVIVAC,avivac_P1_charged
AVIVEG,aviveg_P1_charged
AVIVIK,avivik_P1_charged
AVIVOQ,avivoq_P1_charged
AVIVUW,avivuw_P1_charged
AWAGOV,awagov_P1_charged
AWEDOW,awedow_P1_charged
AWEVIJ,awevij_P1_charged_H
AXUKUB,axukub_P1_charged
AXULAI,axulai_P1_charged
AXULEM,axulem_P1_charged
AYUWUM,ayuwum_P1_charged
AZEKIC,azekic_P1_charged_H
AZEKOI,azekoi_P1_charged_H
AZOXUL,azoxul_P1_charged_H
AZUJIR,azujir_P1_charged
BADZAK,badzak_P1_charged
BAFBES,bafbes_P1_charged_H
BALJOQ,baljoq_P1_charged
BAMKIM,bamkim_P1_charged
