CSD refcode,CIF filename,original crystal system,Sohncke space group,Percentage void space,Charged framework,Hydrogen added,Unreliable chemistry
ABADUG,abadug_P1,triclinic,Yes,38.902,-,-,-
ABAVIJ,abavij_P1,monoclinic,-,17.073,-,-,-
ABAVOP,abavop_P1,monoclinic,-,15.729,-,-,-
ABAYIO,abayio_P1_charged,cubic,-,63.211,Yes,-,-
ABAZAF,abazaf_P1,monoclinic,-,22.679,-,-,-
ABAZAF01,abazaf01_P1,monoclinic,-,23.859,-,-,-
ABEDAQ,abedaq_P1,monoclinic,-,43.372,-,-,-
ABEDEU,abedeu_P1_H,orthorhombic,-,59.169,-,Yes,Yes
ABEFUL,abeful_P1_H,tetragonal,-,18.178,-,Yes,Yes
ABELAY,abelay_P1,tetragonal,-,36.314,-,-,-
ABELEC,abelec_P1,tetragonal,-,36.412,-,-,-
ABELIG,abelig_P1,tetragonal,-,36.668,-,-,-
ABELOM,abelom_P1,orthorhombic,-,48.78,-,-,-
ABELOM01,abelom01_P1,orthorhombic,-,48.871,-,-,-
ABETIN,abetin_P1_charged_H,tetragonal,-,18.69,Yes,Yes,-
ABEXEM,abexem_P1,orthorhombic,-,23.802,-,-,-
ABEXEN,abexen_P1_charged,hexagonal,-,68.138,Yes,-,-
ABEXIQ,abexiq_P1,orthorhombic,-,23.822,-,-,-
ABEXOW,abexow_P1,orthorhombic,-,23.251,-,-,-
ABEXUC,abexuc_P1,orthorhombic,-,23.273,-,-,-
ABEYAJ,abeyaj_P1,orthorhombic,-,23.311,-,-,-
ABEYEN,abeyen_P1,orthorhombic,-,23.571,-,-,-
ABEYIR,abeyir_P1,orthorhombic,-,22.621,-,-,-
ABIRAI,abirai_P1_H,cubic,-,10.428,-,Yes,-
ABIYIV,abiyiv_P1,orthorhombic,-,19.021,-,-,-
ABUHAJ,abuhaj_P1,monoclinic,-,10.615,-,-,-
ACAJOF,acajof_P1,orthorhombic,-,31.289,-,-,-
ACALEX,acalex_P1_H,monoclinic,-,10.003,-,Yes,-
ACALIB,acalib_P1_H,monoclinic,-,15.198,-,Yes,-
ACAZOX,acazox_P1_H,triclinic,-,31.467,-,Yes,Yes
ACEMAA,acemaa_P1,cubic,-,45.309,-,-,-
ACEMEE,acemee_P1_charged,cubic,-,56.15,Yes,-,-
ACEMII,acemii_P1,monoclinic,-,32.452,-,-,-
ACENIF,acenif_P1,orthorhombic,-,33.538,-,-,-
ACIBOE,aciboe_P1_H,tetragonal,-,43.586,-,Yes,Yes
ACICOH,acicoh_P1,monoclinic,-,33.489,-,-,-
ACIPIP,acipip_P1,orthorhombic,-,57.339,-,-,-
ACMPCD,acmpcd_P1_H,monoclinic,Yes,17.673,-,Yes,-
ACOBEC,acobec_P1_H,triclinic,-,10.633,-,Yes,-
ACODAA,acodaa_P1,tetragonal,-,53.801,-,-,-
ACODED,acoded_P1,orthorhombic,-,40.235,-,-,-
ACODON,acodon_P1_charged_H,monoclinic,-,47.741,Yes,Yes,Yes
ACOGEF,acogef_P1,monoclinic,-,38.142,-,-,-
ACOLIP,acolip_P1,monoclinic,-,37.294,-,-,-
ACOLUB,acolub_P1,monoclinic,-,44.489,-,-,-
ACUFEK,acufek_P1_H,rhombohedral,-,72.523,-,Yes,Yes
ACUHEO,acuheo_P1,triclinic,-,12.009,-,-,-
ACUREY,acurey_P1,orthorhombic,-,20.483,-,-,-
ACURUO,acuruo_P1,monoclinic,-,42.365,-,-,-
ACUTOI,acutoi_P1_H,orthorhombic,-,19.036,-,Yes,Yes
ACUXUU,acuxuu_P1,monoclinic,-,51.785,-,-,-
ACUYAB,acuyab_P1,monoclinic,-,58.172,-,-,-
ADABAK,adabak_P1,monoclinic,-,12.331,-,-,-
ADABAK01,adabak01_P1_H,monoclinic,-,12.968,-,Yes,-
ADABEO,adabeo_P1,monoclinic,-,11.902,-,-,-
ADABIS,adabis_P1,monoclinic,-,11.434,-,-,-
ADABUE,adabue_P1,monoclinic,-,19.763,-,-,-
ADAQAA,adaqaa_P1,orthorhombic,-,67.183,-,-,-
ADASIJ,adasij_P1_H,cubic,-,71.934,-,Yes,Yes
ADASOP,adasop_P1_H,tetragonal,-,63.347,-,Yes,Yes
ADATAC,adatac_P1_H,cubic,-,84.294,-,Yes,Yes
ADATIK,adatik_P1_H,tetragonal,-,82.224,-,Yes,Yes
ADATUW,adatuw_P1_charged,cubic,Yes,65.106,Yes,-,-
ADAXEK,adaxek_P1,monoclinic,-,37.63,-,-,-
ADAXIO,adaxio_P1,monoclinic,-,33.607,-,-,-
ADEGEY,adegey_P1_charged,monoclinic,-,51.264,Yes,-,-
ADILOR,adilor_P1,orthorhombic,Yes,12.412,-,-,-
ADINCU,adincu_P1_charged_H,orthorhombic,-,20.667,Yes,Yes,-
ADIPAI,adipai_P1_charged,cubic,-,44.621,Yes,-,-
ADIQAH,adiqah_P1,monoclinic,-,33.535,-,-,-
ADIQEL,adiqel_P1,monoclinic,-,32.439,-,-,-
ADOBAX,adobax_P1,tetragonal,-,31.389,-,-,-
ADOCAY,adocay_P1,tetragonal,-,30.088,-,-,-
ADOCEC,adocec_P1,tetragonal,-,30.205,-,-,-
ADOCIG,adocig_P1,tetragonal,-,30.216,-,-,-
ADODII,adodii_P1,monoclinic,Yes,35.542,-,-,-
ADODOO,adodoo_P1,monoclinic,Yes,32.147,-,-,-
ADODUU,adoduu_P1,monoclinic,Yes,32.008,-,-,-
ADOFOS,adofos_P1,orthorhombic,-,20.855,-,-,-
ADOGUZ,adoguz_P1_H,triclinic,-,38.561,-,Yes,Yes
ADOKEN,adoken_P1,monoclinic,-,17.134,-,-,-
ADOKOX,adokox_P1,monoclinic,-,24.067,-,-,-
ADONIT,adonit_P1,orthorhombic,-,16.793,-,-,-
ADOSUL,adosul_P1_H,monoclinic,-,40.471,-,Yes,-
ADUJER,adujer_P1,cubic,-,75.503,-,-,-
ADULIX,adulix_P1,orthorhombic,Yes,11.655,-,-,-
ADUROI,aduroi_P1_H,cubic,-,78.65,-,Yes,-
ADUWIH,aduwih_P1_H,cubic,-,61.597,-,Yes,Yes
ADUWON,aduwon_P1_charged_H,cubic,-,72.399,Yes,Yes,Yes
AFADAN,afadan_P1_charged,rhombohedral,-,33.739,Yes,-,-
AFECIY,afeciy_P1,monoclinic,-,16.483,-,-,-
AFECIY01,afeciy01_P1,monoclinic,-,16.161,-,-,-
AFEHUO,afehuo_P1,tetragonal,-,56.341,-,-,-
AFENEE,afenee_P1_charged,orthorhombic,-,12.814,Yes,-,-
