CSD refcode,CIF filename
ABEDEU,abedeu_P1_H
ABEFUL,abeful_P1_H
ABETIN,abetin_P1_charged_H
ABIRAI,abirai_P1_H
ACALEX,acalex_P1_H
ACALIB,acalib_P1_H
ACAZOX,acazox_P1_H
ACIBOE,aciboe_P1_H
ACMPCD,acmpcd_P1_H
ACOBEC,acobec_P1_H
ACODON,acodon_P1_charged_H
ACUFEK,acufek_P1_H
ACUTOI,acutoi_P1_H
ADABAK01,adabak01_P1_H
ADASIJ,adasij_P1_H
ADASOP,adasop_P1_H
ADATAC,adatac_P1_H
ADATIK,adatik_P1_H
ADINCU,adincu_P1_charged_H
ADOGUZ,adoguz_P1_H
ADOSUL,adosul_P1_H
ADUROI,aduroi_P1_H
ADUWIH,aduwih_P1_H
ADUWON,aduwon_P1_charged_H
AFIPAH,afipah_P1_H
AFOYEB,afoyeb_P1_H
AGABIU,agabiu_P1_charged_H
AGESIP,agesip_P1_H
AGOFEJ,agofej_P1_charged_H
AHEBAS,ahebas_P1_H
AHEQAH,aheqah_P1_H
AJAKON,ajakon_P1_H
AJIGIL,ajigil_P1_H
AJUHOF,ajuhof_P1_H
AJUHUL,ajuhul_P1_H
AKOBAF,akobaf_P1_charged_H
ALAHUS,alahus_P1_H
ALAJOP,alajop_P1_H
ALAJOP01,alajop01_P1_H
ALEJAE,alejae_P1_H
ALEJEI,alejei_P1_H
ALEJIM,alejim_P1_H
ALIXUP,alixup_P1_H
ALOLES,aloles_P1_charged_H
ALOYEI,aloyei_P1_H
ALUDIX,aludix_P1_H
AMEJIM,amejim_P1_charged_H
AMIZEC,amizec_P1_H
AMUVAI,amuvai_P1_charged_H
AMUWUB,amuwub_P1_H
AMUXAI,amuxai_P1_charged_H
ANEHEI,anehei_P1_H
ANOMIC,anomic_P1_H
ANUGEW,anugew_P1_H
ANUGIA,anugia_P1_H
ANUGOG,anugog_P1_H
AQAGEH,aqageh_P1_charged_H
ARAGOR,aragor_P1_H
ARECOS,arecos_P1_H
AROFAP,arofap_P1_H
AROFET,arofet_P1_H
ARUCUN,arucun_P1_H
ARUDAU,arudau_P1_H
ASAMUE,asamue_P1_H
ATEYED,ateyed_P1_charged_H
ATIFIV,atifiv_P1_H
ATUXOE,atuxoe_P1_charged_H
ATUXUK,atuxuk_P1_charged_H
ATUYAR,atuyar_P1_charged_H
AVAJUE02,avajue02_P1_H
AVAKAL02,avakal02_P1_H
AVAKEP02,avakep02_P1_H
AVELOD,avelod_P1_H
AVEMAQ,avemaq_P1_H
AVEQID,aveqid_P1_H
AVIHIY,avihiy_P1_H
AVIHOE,avihoe_P1_H
AVIRIJ,avirij_P1_H
AVOREL,avorel_P1_H
AVUCEA,avucea_P1_H
AVUPIR,avupir_P1_H
AWAKEQ,awakeq_P1_H
AWASAU,awasau_P1_H
AWASEY,awasey_P1_H
AWEGEP,awegep_P1_H
AWEVIJ,awevij_P1_charged_H
AXINAX01,axinax01_P1_H
AXINIF,axinif_P1_H
AXUBOL,axubol_P1_H
AYOQEM,ayoqem_P1_H
AZEKIC,azekic_P1_charged_H
AZEKOI,azekoi_P1_charged_H
AZOXUL,azoxul_P1_charged_H
AZUHUB,azuhub_P1_H
AZUJOX,azujox_P1_H
BACMOH,bacmoh_P1_H
BACSIL,bacsil_P1_H
BAFBES,bafbes_P1_charged_H
BAGRIN,bagrin_P1_H
BAHCOF,bahcof_P1_H
BAKJEE,bakjee_P1_H
BAKSIS,baksis_P1_H
BAMKOS,bamkos_P1_charged_H
BARMEP,barmep_P1_charged_H
BATXIG,batxig_P1_H
BAWRUO,bawruo_P1_charged_H
BAXREY,baxrey_P1_H
BAZBOU01,bazbou01_P1_H
BAZFUF,bazfuf_P1_H
BAZFUF01,bazfuf01_P1_H
BAZGAM,bazgam_P1_H
BAZGEQ,bazgeq_P1_H
BAZJET,bazjet_P1_H
BECKEC,beckec_P1_H
BEDYEQ,bedyeq_P1_H
BEFVIV,befviv_P1_charged_H
BELQAN,belqan_P1_H
BELTUJ,beltuj_P1_H
BEMWAV,bemwav_P1_H
BEPNIV,bepniv_P1_H
BEPNOB,bepnob_P1_H
BEPPOD,beppod_P1_H
BEQKAM,beqkam_P1_H
BETDEL,betdel_P1_H
BETDIP,betdip_P1_H
BETDUB,betdub_P1_H
BETFEN,betfen_P1_H
BETFUD,betfud_P1_H
BETGAK,betgak_P1_H
BETHIT,bethit_P1_charged_H
BETZOR,betzor_P1_H
BEWVOQ,bewvoq_P1_charged_H
BICPUA,bicpua_P1_H
BIDMAE,bidmae_P1_charged_H
BIFNOW,bifnow_P1_charged_H
BIFPAK,bifpak_P1_charged_H
BIFPOY,bifpoy_P1_charged_H
BIGWOG,bigwog_P1_H
BIHBAX,bihbax_P1_charged_H
BIHRUI,bihrui_P1_H
BIHVUM,bihvum_P1_H
BIJDUV,bijduv_P1_H
BINROH,binroh_P1_H
BINRUN,binrun_P1_H
BINSAU,binsau_P1_H
BIPLAQ,biplaq_P1_H
BIPLIX,biplix_P1_H
BIPNAS,bipnas_P1_H
BIPSUQ,bipsuq_P1_H
BIRBIQ,birbiq_P1_charged_H
