CSD refcode,CIF filename
ABEDEU,abedeu_P1_H
ABEFUL,abeful_P1_H
ACAZOX,acazox_P1_H
ACIBOE,aciboe_P1_H
ACODON,acodon_P1_charged_H
ACUFEK,acufek_P1_H
ACUTOI,acutoi_P1_H
ADASIJ,adasij_P1_H
ADASOP,adasop_P1_H
ADATAC,adatac_P1_H
ADATIK,adatik_P1_H
ADOGUZ,adoguz_P1_H
ADUWIH,aduwih_P1_H
ADUWON,aduwon_P1_charged_H
AFIPAH,afipah_P1_H
AGABIU,agabiu_P1_charged_H
AGESIP,agesip_P1_H
AHEQAH,aheqah_P1_H
AJAKON,ajakon_P1_H
AKOBAF,akobaf_P1_charged_H
ALAHUS,alahus_P1_H
ALEJAE,alejae_P1_H
ALEJEI,alejei_P1_H
ALEJIM,alejim_P1_H
ALOLES,aloles_P1_charged_H
AMUVAI,amuvai_P1_charged_H
ANEHEI,anehei_P1_H
ANUGEW,anugew_P1_H
ANUGIA,anugia_P1_H
ANUGOG,anugog_P1_H
AQAGEH,aqageh_P1_charged_H
ARAGOR,aragor_P1_H
ATEYED,ateyed_P1_charged_H
AVAJUE02,avajue02_P1_H
AVAKAL02,avakal02_P1_H
AVAKEP02,avakep02_P1_H
AVEQID,aveqid_P1_H
AVIHOE,avihoe_P1_H
AWASEY,awasey_P1_H
AWEGEP,awegep_P1_H
AXINIF,axinif_P1_H
AXUBOL,axubol_P1_H
AZEKIC,azekic_P1_charged_H
AZEKOI,azekoi_P1_charged_H
AZOXUL,azoxul_P1_charged_H
BAKSIS,baksis_P1_H
BAWRUO,bawruo_P1_charged_H
BAZFUF,bazfuf_P1_H
BAZFUF01,bazfuf01_P1_H
BAZGAM,bazgam_P1_H
BAZGEQ,bazgeq_P1_H
BEDYEQ,bedyeq_P1_H
BEQKAM,beqkam_P1_H
BETHIT,bethit_P1_charged_H
BICPUA,bicpua_P1_H
BIGWOG,bigwog_P1_H
BIHRUI,bihrui_P1_H
BIHVUM,bihvum_P1_H
BINROH,binroh_P1_H
BINRUN,binrun_P1_H
BINSAU,binsau_P1_H
BIPLAQ,biplaq_P1_H
BIPSUQ,bipsuq_P1_H
BIRSEC,birsec_P1_H
BIRSIG,birsig_P1_H
BOHJAK,bohjak_P1_H
BOKQEZ,bokqez_P1_H
BOXFAW,boxfaw_P1_charged_H
BOXFEA,boxfea_P1_charged_H
BUFNEW,bufnew_P1_charged_H
BUFNOG,bufnog_P1_charged_H
BUFNUM,bufnum_P1_charged_H
BUFNUM01,bufnum01_P1_charged_H
BUFNUM02,bufnum02_P1_charged_H
BUFPAU01,bufpau01_P1_charged_H
BUJMAX,bujmax_P1_charged_H
BUJMEB,bujmeb_P1_charged_H
BUKRUW01,bukruw01_P1_H
BUKSAD,buksad_P1_H
BUNLAZ,bunlaz_P1_H
BUNMOP,bunmop_P1_charged
BUWMAJ,buwmaj_P1_charged_H
BUXNOZ,buxnoz_P1_H
CAJQEL,cajqel_P1_H
CAQHOU,caqhou_P1_H
CAQKAJ01,caqkaj01_P1_H
CARFOT,carfot_P1_charged_H
CATZIJ01,catzij01_P1_H
CAYKEU,caykeu_P1_H
CEBDOD,cebdod_P1_charged_H
CEFLEF,ceflef_P1_H
CEFNEJ,cefnej_P1_H
CEFNIN,cefnin_P1_H
CEFNOT,cefnot_P1_H
CEJCAW,cejcaw_P1_charged_H
CERMIV,cermiv_P1_H
CETFOX,cetfox_P1_H
CEZCOC,cezcoc_P1_charged_H
CILXED,cilxed_P1_H
CILXIH,cilxih_P1_H
CIMTAV,cimtav_P1_charged_H
CIMTEZ,cimtez_P1_charged_H
CIPREZ,ciprez_P1_charged_H
CISMAT,cismat_P1_H
CISMAT01,cismat01_P1_H
CODROD,codrod_P1_H
CODRUJ,codruj_P1_H
COGNAO,cognao_P1_H
COKROL,cokrol_P1_H
COMDOY,comdoy_P1_H
COPBOB,copbob_P1_charged_H
COQHUN,coqhun_P1_charged_H
COVPAG,covpag_P1_H
COYTUG,coytug_P1_H
COYTUG01,coytug01_P1_H
COYVAO,coyvao_P1_H
COYVAO01,coyvao01_P1_H
COYVES,coyves_P1_H
COYVES01,coyves01_P1_H
COZMUA,cozmua_P1_H
CUBQIB,cubqib_P1_charged_H
CUCFEN,cucfen_P1_H
CUCKIV,cuckiv_P1_H
CUDHER,cudher_P1_H
CUGQEC,cugqec_P1_H
CUJXOW,cujxow_P1_H
CUJXUC,cujxuc_P1_H
CUKXUC,cukxuc_P1_H
CUMSEL,cumsel_P1_H
CUNFID,cunfid_P1_H
CUSDIE,cusdie_P1_charged_H
CUSLAG,cuslag_P1_charged_H
DABGIZ,dabgiz_P1_H
DACZUF,daczuf_P1_H
DAJWET,dajwet_P1_charged_H
DAKVOC,dakvoc_P1_H
DAKVUI,dakvui_P1_H
DAKXIA,dakxia_P1_H
DALSER,dalser_P1_charged_H
DANROC,danroc_P1_H
DANZAV,danzav_P1_charged_H
DANZEZ,danzez_P1_charged_H
DANZID,danzid_P1_charged_H
DAPYAW,dapyaw_P1_charged_H
DAWWEF,dawwef_P1_H
DEFPOX,defpox_P1_H
DEGPEL,degpel_P1_charged_H
